Logistic Regression Train, Logistic Regression Test, KNN Train, KNN Test, Random Forest Train, Random Forest Test, SVM Train, SVM Test 
0.4145969498910675, 0.49019607843137253,  0.3708932461873638,  0.37254901960784315, 0.3923747276688453, 0.43137254901960786, 0.3704139433551198, 0.43137254901960786
0.375119825708061,  0.43137254901960786, 0.37699346405228756, 0.45098039215686275, 0.39037037037037037, 0.45098039215686275, 0.3594335511982571, 0.45098039215686275
0.4013507625272331, 0.4117647058823529, 0.3485403050108932, 0.29411764705882354, 0.3993028322440087, 0.4117647058823529, 0.4012636165577342, 0.49019607843137253
0.4515032679738562, 0.4117647058823529, 0.34405228758169937, 0.37254901960784315, 0.4126797385620915, 0.45098039215686275, 0.36858387799564274, 0.45098039215686275
0.3751633986928104, 0.39215686274509803, 0.3836165577342048, 0.4117647058823529, 0.3949891067538126, 0.45098039215686275, 0.38392156862745097, 0.5098039215686274
0.39908496732026144, 0.35294117647058826, 0.3616557734204793, 0.39215686274509803, 0.38601307189542483, 0.3333333333333333, 0.3771677559912854, 0.49019607843137253
0.3879302832244009, 0.47058823529411764, 0.32244008714596945, 0.4117647058823529, 0.39263616557734204, 0.39215686274509803, 0.38819172113289757, 0.4117647058823529
0.41206971677559917, 0.39215686274509803, 0.3422222222222222, 0.45098039215686275, 0.43381263616557736, 0.35294117647058826, 0.40152505446623094, 0.35294117647058826
0.38374727668845315, 0.43137254901960786, 0.3377342047930283, 0.47058823529411764, 0.3596078431372549, 0.49019607843137253, 0.4163398692810457, 0.47058823529411764
0.4122875816993464, 0.49019607843137253, 0.3618300653594771, 0.3333333333333333, 0.40383442265795205, 0.3333333333333333, 0.3771677559912854, 0.47058823529411764




